Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_UV_RESPONSE_UP,0.28025162484935917,0.8004885563920625,1.0,0.90625,0.039,35/158,10.78%,ONECUT1;SOD2;IL6ST;IGFBP2;IL6;BMP2;CXCL2;SQSTM1;MAOA;HSPA2;BSG;ENO2;CDKN1C;PDLIM3;ICAM1;PLCL1;NFKBIA;CLTB;AP2S1;C4BPB;TST;FMO1;TMBIM6;TYRO3;SELENOW;DNAJA1;BTG3;APOM;SLC25A4;HSPA13;SULT1A1;RRAD;CCK;UROD;RHOB
prerank,HALLMARK_APICAL_JUNCTION,-0.46189135052841485,-0.7554428924101891,1.0,1.0,1.0,23/200,16.68%,CLDN6;CLDN5;CLDN9;CX3CL1;CD209;ITGA10;CADM2;ATP1A3;PPP2R2C;ADAM23;CDSN;SLC30A3;AMH;DMP1;ACTC1;CLDN19;NRAP;ADRA1B;CLDN18;CLDN8;ACTA1;KRT31;ACTN3
prerank,HALLMARK_MYOGENESIS,-0.4566599283244888,-0.7479295644036714,0.998,1.0,1.0,27/200,19.11%,SPDEF;CHRNA1;PGAM2;MYOM1;GNAO1;TNNI1;CKM;MYL4;MYBPH;NOS1;ATP2A1;SGCA;ACTC1;CASQ1;HRC;MYL2;CASQ2;CACNG1;MYL7;ACTA1;SLN;MYH7;KCNH1;ACTN3;MYH8;MYOG;CHRNG
prerank,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.46670603645687925,-0.7412886286897431,0.973816717019134,1.0,1.0,12/42,33.80%,DKK4;WNT1;HEY2;WNT6;LEF1;NOTCH4;NOTCH1;JAG2;NKD1;FRAT1;WNT5B;TCF7
prerank,HALLMARK_ALLOGRAFT_REJECTION,-0.4440165984787005,-0.7273587740214719,1.0,1.0,1.0,87/200,28.74%,PRF1;CD8B;ITK;SIT1;IFNG;STAT4;TRAT1;ZAP70;FASLG;CCL11;CD40LG;IL18RAP;NCR1;CARTPT;CCL22;CCL13;HLA-DRA;IL2;PRKCG;CD74;KRT1;IL4;NOS2;F2;RPL3L;IL13;CD2;CCL4;CD3G;GZMA;CD3E;LTB;SRGN;LCK;CCL5;CD8A;CXCL13;CD96;PTPRC;IL2RB;HLA-DQA1;CD79A;CFP;CD3D;MAP4K1;CXCR3;STAB1;CD247;ITGAL;CCR2;CDKN2A;FYB1;CTSS;TNF;HCLS1;IL2RA;IL12RB1;ITGB2;GPR65;GZMB;KLRD1;HLA-DOB;CCL19;IL2RG;HLA-DMB;INHBB;CD28;CD4;LY86;LCP2;IGSF6;CRTAM;IL1B;PTPN6;ST8SIA4;IRF8;HLA-DOA;HLA-DMA;IL12A;WAS;IRF4;CSK;SPI1;CCR1;IL27RA;NLRP3;CCR5
prerank,HALLMARK_MYC_TARGETS_V2,-0.45323433895562537,-0.7265690389687353,0.983983983983984,1.0,1.0,1/58,0.45%,SLC29A2
prerank,HALLMARK_BILE_ACID_METABOLISM,-0.4251045274228286,-0.6926170551798737,0.994,1.0,1.0,21/112,27.64%,SLCO1A2;SULT1B1;SULT2B1;KLF1;RXRG;DIO1;NR1I2;GC;AKR1D1;CYP8B1;AGXT;TTR;NR1H4;LCK;DIO2;BBOX1;ABCD2;TFCP2L1;CH25H;PIPOX;RBP1
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.4084616381275413,-0.6610655651728975,0.999,1.0,1.0,6/105,9.78%,FASLG;GNGT1;PITX2;FGF17;ADCY2;IL4
prerank,HALLMARK_IL2_STAT5_SIGNALING,-0.4043230518262295,-0.6590616621991058,1.0,1.0,1.0,53/199,29.48%,TNFRSF4;CTLA4;EOMES;SLC29A2;CCR4;SELP;F2RL2;CAPN3;CSF2;GATA1;GPR83;IL13;SPP1;LTB;S100A1;CD79B;IL2RB;ICOS;CST7;BATF;TNFRSF18;RHOH;MUC1;LRIG1;IL2RA;GPR65;TLR7;SELL;CD48;CISH;IL10RA;SYNGR2;CTSZ;PRKCH;FGL2;IRF8;CD83;HOPX;TNFSF10;IRF4;SCN9A;LRRC8C;TIAM1;GUCY1B1;BCL2;PTGER2;ALCAM;IKZF2;NRP1;DRC1;ETV4;IRF6;IL3RA
prerank,HALLMARK_E2F_TARGETS,-0.4022254725898275,-0.6569552945018208,1.0,1.0,1.0,118/200,43.36%,KIF18B;CDKN2A;ASF1B;DSCC1;LBR;KIF2C;HMGB2;MYBL2;TACC3;TMPO;TCF19;RAD51AP1;BARD1;MCM7;CCNE1;MTHFD2;GINS1;ORC6;EZH2;MSH2;DCK;SMC4;PLK4;DNMT1;AURKB;CENPM;CDCA8;LMNB1;ATAD2;POLE;HELLS;SPC25;MKI67;BRCA1;CDK1;MCM4;BUB1B;HMGB3;UBE2T;DEK;RNASEH2A;GINS4;RRM2;MCM2;AURKA;CKS1B;BRCA2;NUP107;HMGA1;MCM3;CSE1L;CENPE;RFC3;MMS22L;STMN1;TIMELESS;NASP;MCM5;H2AZ1;SMC1A;PDS5B;PCNA;CDKN1B;ING3;KIF4A;ESPL1;LYAR;RAD21;RPA1;NUP205;PNN;DDX39A;EED;SPAG5;ANP32E;TFRC;CIT;PRKDC;CTPS1;CDCA3;DCLRE1B;SNRPB;SPC24;LIG1;POLA2;CTCF;PSIP1;GINS3;POLD1;SMC6;DEPDC1;POLD3;USP1;MAD2L1;PRIM2;MRE11;UBR7;TP53;SHMT1;NCAPD2;CDC20;RFC2;SUV39H1;ORC2;NUP153;RAD1;PSMC3IP;CCP110;TK1;TRA2B;CCNB2;ASF1A;RACGAP1;RAD51C;KPNA2;DCTPP1;PA2G4;XPO1
prerank,HALLMARK_APICAL_SURFACE,-0.40943712416447686,-0.6499951100861369,0.9929506545820745,1.0,1.0,3/44,7.55%,CX3CL1;PKHD1;SLC34A3
